"search","total","stocking date num","stocking date","distance (mi)","drive time (hrs)","DOW"
"Lakeside Park*, Duncanville, TX",1896,"date2","12/13/19",26,0.56,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date2","12/13/19",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date2","12/13/19",49,0.95,"Friday"
"Josey Ranch Park South Pond, Carrollton, TX",1000,"date1","12/17/19",11,0.35,"Tuesday"
"Rowlett Community Park North Pond, Rowlett, TX",1000,"date1","12/18/19",21,0.47,"Wednesday"
"Bear Creek Park, Keller, TX",1750,"date1","12/18/19",36,0.76,"Wednesday"
"Mesquite City Lake*, Mesquite, TX",3160,"date2","12/27/19",19,0.45,"Friday"
"Lakeside Park*, Duncanville, TX",1896,"date3","12/27/19",26,0.56,"Friday"
"Hurst Chisholm Park*, Hurst, TX",1896,"date2","12/27/19",28,0.61,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date3","12/27/19",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date3","12/27/19",49,0.95,"Friday"
"Sonora Park, Kennedale, TX",1600,"date1","01/06/20",41,0.81,"Monday"
"Trinity Park Clear Fork Trinity River, Fort Worth, TX",3703,"date1","01/07/20",39,0.82,"Tuesday"
"Heritage Park, Flower Mound, TX",375,"date1","01/08/20",20,0.45,"Wednesday"
"Rheudasil Park, Flower Mound, TX",1250,"date1","01/08/20",21,0.49,"Wednesday"
"Bailey Lake, Burleson, TX",1600,"date2","01/08/20",50,0.93,"Wednesday"
"Lakeside Park*, Duncanville, TX",1896,"date4","01/10/20",26,0.56,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date4","01/10/20",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date4","01/10/20",49,0.95,"Friday"
"Mustang Creek Park, Wasahachie, TX",2000,"date2","01/14/20",41,0.84,"Tuesday"
"Sports Complex Park, Waxahachie, TX",2000,"date2","01/14/20",43,0.89,"Tuesday"
"Cedar Hill State Park Perch Pond, Cedar Hill, TX",1250,"date1","01/15/20",28,0.62,"Wednesday"
"Mike Lewis Park, Grand Prairie, TX",2500,"date1","01/16/20",30,0.62,"Thursday"
"Caruth Park, University Park, TX",1000,"date2","01/22/20",8,0.29,"Wednesday"
"Kleberg-Rylie Recreation Center, Dallas, TX",1400,"date1","01/22/20",25,0.55,"Wednesday"
"Mesquite City Lake*, Mesquite, TX",3160,"date3","01/24/20",19,0.45,"Friday"
"Lakeside Park*, Duncanville, TX",1896,"date5","01/24/20",26,0.56,"Friday"
"Hurst Chisholm Park*, Hurst, TX",1896,"date3","01/24/20",28,0.61,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date5","01/24/20",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date5","01/24/20",49,0.95,"Friday"
"Bear Creek Park, Keller, TX",1750,"date2","01/25/20",36,0.76,"Saturday"
"Myers Park, Rockwall, TX",1400,"date1","01/29/20",30,0.67,"Wednesday"
"Ablon Park Pond, Garland, TX",2250,"date1","01/30/20",18,0.42,"Thursday"
"Cedar Hill State Park Perch Pond, Cedar Hill, TX",1250,"date2","02/04/20",28,0.62,"Tuesday"
"Trinity Park Clear Fork Trinity River, Fort Worth, TX",3703,"date2","02/05/20",39,0.82,"Wednesday"
"Lakeside Park*, Duncanville, TX",1896,"date6","02/07/20",26,0.56,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date6","02/07/20",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date6","02/07/20",49,0.95,"Friday"
"Frisco Commons Pond, Frisco, TX",3500,"date1","02/09/20",17,0.37,"Sunday"
"Mike Lewis Park, Grand Prairie, TX",2500,"date2","02/16/20",30,0.62,"Sunday"
"Sonora Park, Kennedale, TX",1600,"date2","02/20/20",41,0.81,"Thursday"
"Mesquite City Lake*, Mesquite, TX",3160,"date4","02/21/20",19,0.45,"Friday"
"Lakeside Park*, Duncanville, TX",1896,"date7","02/21/20",26,0.56,"Friday"
"Hurst Chisholm Park*, Hurst, TX",1896,"date4","02/21/20",28,0.61,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date7","02/21/20",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date7","02/21/20",49,0.95,"Friday"
"Murphy City Hall Pond, Murphy, TX",4000,"date1","02/23/20",17,0.51,"Sunday"
"Towne Lake, McKinney, TX",5500,"date1","02/23/20",26,0.55,"Sunday"
"Frontier Park Pond, Prosper, TX",2640,"date1","02/23/20",29,0.59,"Sunday"
"Linda Spurlock Park, North Richland Hills, TX",400,"date1","02/27/20",33,0.74,"Thursday"
"Lakeside Park*, Duncanville, TX",1896,"date8","03/06/20",26,0.56,"Friday"
"South Lakes Park Pond*, Denton, TX",2400,"date8","03/06/20",32,0.64,"Friday"
"Greenbriar Park*, Fort Worth, TX",1896,"date8","03/06/20",49,0.95,"Friday"
